user_id,repo_id,exact_contributions
4922778,81598961,1
45343541,221981891,1
7316730,231283452,1
196592339,231283452,1
6217656,81598961,1
22231525,24195339,1
22412638,612344730,1
340100,3955647,1
118690585,24195339,1
123177290,612344730,1
1436451,221981891,1
10673049,81598961,1
632049,81598961,1
65676916,221981891,1
36520355,614765452,1
1961699,13807606,1
5076954,614765452,1
11965907,24195339,1
159573669,231283452,1
135022988,612344730,1
87199350,231283452,1
18706421,24195339,1
21343173,13807606,1
89353,3955647,1
18171139,614765452,1
18666321,221981891,1
13260877,13807606,1
30711792,612344730,1
1627685,3955647,1
4140247,231283452,1
77367421,81598961,1
28770408,81598961,1
249800,3955647,1
27828200,24195339,1
3791334,13807606,1
3313021,612344730,1
44025432,221981891,1
1612291,81598961,1
2328124,612344730,1
17582238,231283452,1
6625584,614765452,1
16988672,13807606,1
22483488,614765452,1
3222192,221981891,1
23277581,24195339,1
2667129,3955647,1
69623008,231283452,1
2774523,3955647,1
3822393,81598961,1
148516338,612344730,1
7143173,24195339,1
576151,221981891,1
65708398,614765452,1
68607350,13807606,1
143811697,231283452,1
2146903,24195339,1
37977109,612344730,1
20515386,221981891,1
360595,3955647,1
528415,614765452,1
5678977,13807606,1
5951993,81598961,1
20597,3955647,1
48420402,231283452,1
2221844,13807606,1
1683147,24195339,1
12536671,24195339,1
67527439,81598961,1
41600413,612344730,1
5174173,614765452,1
564520,13807606,1
31936665,231283452,1
26142226,81598961,1
22633385,614765452,1
20410697,612344730,1
314190,221981891,1
2392803,221981891,1
784903,3955647,1
1107171,24195339,1
6481831,231283452,1
1922896,221981891,1
13228538,221981891,1
14172,13807606,1
578277,221981891,1
12513856,24195339,1
991078,3955647,1
5660272,81598961,1
15611560,614765452,1
119627414,614765452,1
12125537,13807606,1
177304107,231283452,1
30566406,231283452,1
4431336,81598961,1
1129852,3955647,1
62805286,612344730,1
1588159,24195339,1
25226871,612344730,1
78383353,612344730,1
791741,81598961,1
6123962,13807606,1
1725349,3955647,1
2927957,614765452,1
77031,3955647,1
177587305,612344730,1
9895620,81598961,1
901354,24195339,1
24833545,614765452,1
1015381,13807606,1
139547705,231283452,1
24786548,231283452,1
2477788,221981891,1
33810531,81598961,1
136452216,24195339,1
56119,27193779,1
198507,3955647,1
1681351,13807606,1
129292347,221981891,1
20157115,27193779,1
10244417,382496361,1
43268197,382496361,1
36145660,612344730,1
26833660,101138315,1
9308455,382496361,1
1198848,27193779,1
7455872,27193779,1
39717545,101138315,1
13402525,382496361,1
65483923,382496361,1
4269898,101138315,1
121766,27193779,1
1595841,382496361,1
22726,27193779,1
15979860,382496361,1
102609904,101138315,1
71636191,299354207,1
74849775,101138315,1
37564754,101138315,1
11814502,101138315,1
719033,101138315,1
14891774,299354207,1
136106582,299354207,1
13586388,299354207,1
34329208,101138315,1
7643584,382496361,1
37781396,299354207,1
39793325,299354207,1
132934535,382496361,1
73148455,299354207,1
15245678,101138315,1
23065608,101138315,1
1850168,382496361,1
82020386,382496361,1
5145158,101138315,1
1040974,382496361,1
6621467,101138315,1
62206297,299354207,1
72935517,382496361,1
22958941,101138315,1
26688719,382496361,1
9788214,382496361,1
10419686,101138315,1
53040044,299354207,1
1262554,299354207,1
116861809,299354207,1
62205878,101138315,1
60532811,382496361,1
19493070,101138315,1
67791701,299354207,1
25316928,299354207,1
5204006,382496361,1
34490480,382496361,1
46207981,101138315,1
33117529,382496361,1
11472839,101138315,1
42061627,299354207,1
89062105,382496361,1
34023320,101138315,1
76554157,382496361,1
11607199,101138315,1
126983335,299354207,1
14917762,101138315,1
7739709,382496361,1
31916454,382496361,1
5567434,299354207,1
18584915,101138315,1
11374851,101138315,1
58211081,382496361,1
26287042,299354207,1
7030768,101138315,1
44747719,299354207,1
3913291,299354207,1
52870065,382496361,1
5087074,382496361,1
2119212,299354207,1
115902866,382496361,1
25243894,299354207,1
53569770,101138315,1
4000163,299354207,1
18515653,382496361,1
8949994,101138315,1
63600304,382496361,1
19902540,101138315,1
44649402,299354207,1
36250619,299354207,1
53147200,299354207,1
7425195,101138315,1
55105920,382496361,1
3592759,299354207,1
6069593,382496361,1
14898950,101138315,1
156439718,382496361,1
39976863,101138315,1
49556860,101138315,1
15027395,299354207,1
20288519,101138315,1
180920516,299354207,1
13377178,382496361,1
52622705,382496361,1
31624047,299354207,1
16441688,299354207,1
108121001,382496361,1
6951100,299354207,1
34548743,382496361,1
74853597,101138315,1
64364019,299354207,1
12406017,101138315,1
5835759,382496361,1
89228568,299354207,1
10506197,299354207,1
49838178,101138315,1
25142514,101138315,1
27839082,101138315,1
83876165,101138315,1
20069588,382496361,1
9360247,101138315,1
242612,382496361,1
6209760,382496361,1
103753680,299354207,1
7781906,382496361,1
23700345,101138315,1
123008422,382496361,1
23011166,101138315,1
71180087,299354207,1
9041628,382496361,1
59868436,382496361,1
21192837,299354207,1
57643470,299354207,1
1086421,382496361,1
131688106,299354207,1
69426923,101138315,1
18045872,101138315,1
17975617,101138315,1
182429115,299354207,1
41419744,382496361,1
47153709,382496361,1
7244447,299354207,1
163113183,382496361,1
4978794,101138315,1
18539958,299354207,1
18019301,101138315,1
118541411,382496361,1
131397022,299354207,1
4129650,382496361,1
25380773,101138315,1
55458509,299354207,1
43285072,299354207,1
46245425,101138315,1
3145587,101138315,1
72470168,382496361,1
49582659,101138315,1
